OBSPWR,4HR_FCSTPWR,OBS_DIFF,4HR_DIFF,4HR_ERROR,DIFF_ERROR
697.7,646.1,0,0,-51.6,0
544.3,620.8,-153.4,-25.3,76.5,128.1
621.1,641.3,76.8,20.5,20.2,-56.3
650.4,639.4,29.3,-1.9,-11,-31.2
581.8,614.6,-68.6,-24.8,32.8,43.8
456.9,573.5,-124.9,-41.1,116.6,83.8
329.3,509.4,-127.6,-64.1,180.1,63.5
366.3,516.4,37,7,150.1,-30
404.7,488.9,38.4,-27.5,84.2,-65.9
389.7,482.1,-15,-6.8,92.4,8.2
365.3,461.3,-24.4,-20.8,96,3.6
326.4,418,-38.9,-43.3,91.6,-4.4
151.6,379.5,-174.8,-38.5,227.9,136.3
111.1,355.1,-40.5,-24.4,244,16.1
168.7,358.1,57.6,3,189.4,-54.6
151.1,319.1,-17.6,-39,168,-21.4
119.5,303.3,-31.6,-15.8,183.8,15.8
103.2,304.7,-16.3,1.4,201.5,17.7
88.1,289.3,-15.1,-15.4,201.2,-0.3
51.1,258,-37,-31.3,206.9,5.7
31.3,265.5,-19.8,7.5,234.2,27.3
30.3,233.7,-1,-31.8,203.4,-30.8
34.5,225.8,4.2,-7.9,191.3,-12.1
39.5,200,5,-25.8,160.5,-30.8
34.6,202.2,-4.9,2.2,167.6,7.1
22.7,196.2,-11.9,-6,173.5,5.9
17.6,176.1,-5.1,-20.1,158.5,-15
27.1,201.4,9.5,25.3,174.3,15.8
45,194.8,17.9,-6.6,149.8,-24.5
48.3,208.4,3.3,13.6,160.1,10.3
41.8,189.7,-6.5,-18.7,147.9,-12.2
42.8,189.2,1,-0.5,146.4,-1.5
39.9,169.6,-2.9,-19.6,129.7,-16.7
40.8,160.8,0.9,-8.8,120,-9.7
54.6,164.4,13.8,3.6,109.8,-10.2
63.9,168,9.3,3.6,104.1,-5.7
92.6,168.9,28.7,0.9,76.3,-27.8
177.9,223.8,85.3,54.9,45.9,-30.4
175.5,222.5,-2.4,-1.3,47,1.1
269.3,262.1,93.8,39.6,-7.2,-54.2
284.3,293.6,15,31.5,9.3,16.5
404.8,344.6,120.5,51,-60.2,-69.5
694.9,438.2,290.1,93.6,-256.7,-196.5
1012.3,559.3,317.4,121.1,-453,-196.3
1295.6,703.4,283.3,144.1,-592.2,-139.2
1483.2,871.7,187.6,168.3,-611.5,-19.3
1554.4,993.1,71.2,121.4,-561.3,50.2
1620.9,1165,66.5,171.9,-455.9,105.4
1636.2,1237.8,15.3,72.8,-398.4,57.5
1515.3,1274.8,-120.9,37,-240.5,157.9
1496.3,1269.5,-19,-5.3,-226.8,13.7
1525.6,1305.3,29.3,35.8,-220.3,6.5
1351.6,1241,-174,-64.3,-110.6,109.7
1003.3,1128.9,-348.3,-112.1,125.6,236.2
703.5,1024.3,-299.8,-104.6,320.8,195.2
604.3,926.1,-99.2,-98.2,321.8,1
661.6,875.4,57.3,-50.7,213.8,-108
615.1,817.6,-46.5,-57.8,202.5,-11.3
732.2,822.1,117.1,4.5,89.9,-112.6
776.6,811,44.4,-11.1,34.4,-55.5
819.9,806.2,43.3,-4.8,-13.7,-48.1
1030,848.9,210.1,42.7,-181.1,-167.4
1204.6,908.2,174.6,59.3,-296.4,-115.3
1329.3,1013,124.7,104.8,-316.3,-19.9
1265.3,1037.3,-64,24.3,-228,88.3
1274.9,1070.7,9.6,33.4,-204.2,23.8
1424.3,1145.4,149.4,74.7,-278.9,-74.7
1511.5,1217.1,87.2,71.7,-294.4,-15.5
1561,1267,49.5,49.9,-294,0.4
1634.3,1317,73.3,50,-317.3,-23.3
1647.5,1358.2,13.2,41.2,-289.3,28
1642.2,1362.9,-5.3,4.7,-279.3,10
1644.6,1360.7,2.4,-2.2,-283.9,-4.6
1618,1381.1,-26.6,20.4,-236.9,47
1549.2,1379.8,-68.8,-1.3,-169.4,67.5
1446.7,1361.6,-102.5,-18.2,-85.1,84.3
1390.3,1352.2,-56.4,-9.4,-38.1,47
1369.9,1325.6,-20.4,-26.6,-44.3,-6.2
1230.8,1258.8,-139.1,-66.8,28,72.3
1095.5,1176.8,-135.3,-82,81.3,53.3
1044.6,1116.1,-50.9,-60.7,71.5,-9.8
948.9,1063.5,-95.7,-52.6,114.6,43.1
840.3,1004.8,-108.6,-58.7,164.5,49.9
768.6,940.3,-71.7,-64.5,171.7,7.2
643,844.1,-125.6,-96.2,201.1,29.4
500.4,760.8,-142.6,-83.3,260.4,59.3
402.5,696,-97.9,-64.8,293.5,33.1
307.1,652.3,-95.4,-43.7,345.2,51.7
282.6,594.4,-24.5,-57.9,311.8,-33.4
170.4,536.9,-112.2,-57.5,366.5,54.7
60.9,437.3,-109.5,-99.6,376.4,9.9
30,398,-30.9,-39.3,368,-8.4
27,360.5,-3,-37.5,333.5,-34.5
35.4,304.8,8.4,-55.7,269.4,-64.1
29.2,279.3,-6.2,-25.5,250.1,-19.3
39.8,248.7,10.6,-30.6,208.9,-41.2
47.9,238.7,8.1,-10,190.8,-18.1
102.4,252.5,54.5,13.8,150.1,-40.7
186.9,271.9,84.5,19.4,85,-65.1
301.4,303.8,114.5,31.9,2.4,-82.6
439.9,358.9,138.5,55.1,-81,-83.4
639.2,411,199.3,52.1,-228.2,-147.2
809.4,491.6,170.2,80.6,-317.8,-89.6
917.4,551,108,59.4,-366.4,-48.6
946.8,633,29.4,82,-313.8,52.6
845.7,648.4,-101.1,15.4,-197.3,116.5
807.2,650.6,-38.5,2.2,-156.6,40.7
765.1,663.7,-42.1,13.1,-101.4,55.2
546.2,619.9,-218.9,-43.8,73.7,175.1
565.7,617.5,19.5,-2.4,51.8,-21.9
704.3,710.7,138.6,93.2,6.4,-45.4
789.5,726,85.2,15.3,-63.5,-69.9
802.1,713.4,12.6,-12.6,-88.7,-25.2
685.4,691.4,-116.7,-22,6,94.7
535.9,630,-149.5,-61.4,94.1,88.1
475.6,617,-60.3,-13,141.4,47.3
404.3,573.1,-71.3,-43.9,168.8,27.4
275.7,527.9,-128.6,-45.2,252.2,83.4
185.4,472.3,-90.3,-55.6,286.9,34.7
124.6,401.6,-60.8,-70.7,277,-9.9
111.1,361.6,-13.5,-40,250.5,-26.5
106.6,339.7,-4.5,-21.9,233.1,-17.4
112.4,333.2,5.8,-6.5,220.8,-12.3
144,300.4,31.6,-32.8,156.4,-64.4
195.4,306.5,51.4,6.1,111.1,-45.3
306.7,333.1,111.3,26.6,26.4,-84.7
460.9,377.6,154.2,44.5,-83.3,-109.7
617.6,444.1,156.7,66.5,-173.5,-90.2
700.8,508.1,83.2,64,-192.7,-19.2
783.7,557,82.9,48.9,-226.7,-34
760.1,590.3,-23.6,33.3,-169.8,56.9
715.5,621.6,-44.6,31.3,-93.9,75.9
582.3,596.2,-133.2,-25.4,13.9,107.8
635.5,623.4,53.2,27.2,-12.1,-26
770.4,676.6,134.9,53.2,-93.8,-81.7
798.1,701.8,27.7,25.2,-96.3,-2.5
943.3,749.4,145.2,47.6,-193.9,-97.6
