SYSLoad,PkLoad,PkLoadPoint,T24PkLoad,T24PkPoint,T48PkLoad,T48PkPoint,Seasonal,T24Seasonal,T48Seasonal,T24Dry,T24Dew,DryBulb,DewPnt,Hour,Date,WeekDay,Month,Year
12825,18116,17,18435,18,18294,18,5291,5251,5631,20,6,33,22,1,1,3,1,2013
12167,18116,17,18435,18,18294,18,5949,5750,6236,20,7,33,22,2,1,3,1,2013
11697,18116,17,18435,18,18294,18,6419,6006,6525,20,7,33,22,3,1,3,1,2013
11440,18116,17,18435,18,18294,18,6676,6046,6653,21,8,34,22,4,1,3,1,2013
11450,18116,17,18435,18,18294,18,6666,5821,6578,20,9,33,22,5,1,3,1,2013
11743,18116,17,18435,18,18294,18,6373,5139,6244,20,10,33,23,6,1,3,1,2013
12227,18116,17,18435,18,18294,18,5889,3998,5684,21,11,33,23,7,1,3,1,2013
12592,18116,17,18435,18,18294,18,5524,3101,5111,21,12,32,22,8,1,3,1,2013
13213,18116,17,18435,18,18294,18,4903,2334,4246,23,13,32,22,9,1,3,1,2013
13957,18116,17,18435,18,18294,18,4159,1760,3501,25,16,33,20,10,1,3,1,2013
14590,18116,17,18435,18,18294,18,3526,1501,3003,27,17,33,18,11,1,3,1,2013
14963,18116,17,18435,18,18294,18,3153,1549,2685,28,18,32,16,12,1,3,1,2013
15059,18116,17,18435,18,18294,18,3057,1824,2563,30,19,32,16,13,1,3,1,2013
14999,18116,17,18435,18,18294,18,3117,2102,2680,31,20,32,15,14,1,3,1,2013
15029,18116,17,18435,18,18294,18,3087,2275,2809,32,20,31,14,15,1,3,1,2013
15323,18116,17,18435,18,18294,18,2793,2228,2679,33,20,30,12,16,1,3,1,2013
16747,18116,17,18435,18,18294,18,1369,1052,1270,32,20,28,11,17,1,3,1,2013
18116,18116,17,18435,18,18294,18,0,0,0,31,20,27,10,18,1,3,1,2013
18040,18116,17,18435,18,18294,18,76,536,62,31,20,26,10,19,1,3,1,2013
17628,18116,17,18435,18,18294,18,488,1407,512,31,21,25,9,20,1,3,1,2013
16974,18116,17,18435,18,18294,18,1142,2276,1013,32,21,23,8,21,1,3,1,2013
15941,18116,17,18435,18,18294,18,2175,3099,1879,31,21,21,6,22,1,3,1,2013
14612,18116,17,18435,18,18294,18,3504,3956,3020,32,21,20,5,23,1,3,1,2013
13460,18116,17,18435,18,18294,18,4656,4793,4221,32,21,18,5,24,1,3,1,2013
12793,19989,17,18116,17,18435,18,7196,5291,5251,33,22,18,4,1,2,4,1,2013
12436,19989,17,18116,17,18435,18,7553,5949,5750,33,22,16,3,2,2,4,1,2013
12313,19989,17,18116,17,18435,18,7676,6419,6006,33,22,15,3,3,2,4,1,2013
12418,19989,17,18116,17,18435,18,7571,6676,6046,34,22,15,4,4,2,4,1,2013
12846,19989,17,18116,17,18435,18,7143,6666,5821,33,22,14,4,5,2,4,1,2013
14081,19989,17,18116,17,18435,18,5908,6373,5139,33,23,14,4,6,2,4,1,2013
16210,19989,17,18116,17,18435,18,3779,5889,3998,33,23,13,4,7,2,4,1,2013
17373,19989,17,18116,17,18435,18,2616,5524,3101,32,22,14,5,8,2,4,1,2013
17567,19989,17,18116,17,18435,18,2422,4903,2334,32,22,14,5,9,2,4,1,2013
17687,19989,17,18116,17,18435,18,2302,4159,1760,33,20,17,6,10,2,4,1,2013
17699,19989,17,18116,17,18435,18,2290,3526,1501,33,18,21,7,11,2,4,1,2013
17635,19989,17,18116,17,18435,18,2354,3153,1549,32,16,24,9,12,2,4,1,2013
17481,19989,17,18116,17,18435,18,2508,3057,1824,32,16,26,10,13,2,4,1,2013
17416,19989,17,18116,17,18435,18,2573,3117,2102,32,15,27,10,14,2,4,1,2013
17363,19989,17,18116,17,18435,18,2626,3087,2275,31,14,27,10,15,2,4,1,2013
17544,19989,17,18116,17,18435,18,2445,2793,2228,30,12,26,10,16,2,4,1,2013
18705,19989,17,18116,17,18435,18,1284,1369,1052,28,11,25,9,17,2,4,1,2013
19989,19989,17,18116,17,18435,18,0,0,0,27,10,23,9,18,2,4,1,2013
19913,19989,17,18116,17,18435,18,76,76,536,26,10,22,7,19,2,4,1,2013
19496,19989,17,18116,17,18435,18,493,488,1407,25,9,20,6,20,2,4,1,2013
18823,19989,17,18116,17,18435,18,1166,1142,2276,23,8,19,5,21,2,4,1,2013
17675,19989,17,18116,17,18435,18,2314,2175,3099,21,6,17,3,22,2,4,1,2013
16138,19989,17,18116,17,18435,18,3851,3504,3956,20,5,16,2,23,2,4,1,2013
14818,19989,17,18116,17,18435,18,5171,4656,4793,18,5,13,0,24,2,4,1,2013
14021,20059,18,19989,17,18116,17,6038,7196,5291,18,4,12,-1,1,3,5,1,2013
13634,20059,18,19989,17,18116,17,6425,7553,5949,16,3,10,-3,2,3,5,1,2013
13478,20059,18,19989,17,18116,17,6581,7676,6419,15,3,9,-5,3,3,5,1,2013
13529,20059,18,19989,17,18116,17,6530,7571,6676,15,4,8,-5,4,3,5,1,2013
