SYSLoad,PkLoad,PkLoadPoint,Year,Month,Date,WeekDay,Hour,MeanDry,MeanDew,DryBulb,DewPnt,Date
12825,,,2013,1,1,3,1,,,33,22,2013/1/1
12167,,,2013,1,1,3,2,,,33,22,2013/1/1
11697,,,2013,1,1,3,3,,,33,22,2013/1/1
11440,,,2013,1,1,3,4,,,34,22,2013/1/1
11450,,,2013,1,1,3,5,,,33,22,2013/1/1
11743,,,2013,1,1,3,6,,,33,23,2013/1/1
12227,,,2013,1,1,3,7,,,33,23,2013/1/1
12592,,,2013,1,1,3,8,,,32,22,2013/1/1
13213,,,2013,1,1,3,9,,,32,22,2013/1/1
13957,,,2013,1,1,3,10,,,33,20,2013/1/1
14590,,,2013,1,1,3,11,,,33,18,2013/1/1
14963,,,2013,1,1,3,12,,,32,16,2013/1/1
15059,,,2013,1,1,3,13,,,32,16,2013/1/1
14999,,,2013,1,1,3,14,,,32,15,2013/1/1
15029,,,2013,1,1,3,15,,,31,14,2013/1/1
15323,,,2013,1,1,3,16,,,30,12,2013/1/1
16747,,,2013,1,1,3,17,,,28,11,2013/1/1
18116,,,2013,1,1,3,18,,,27,10,2013/1/1
18040,,,2013,1,1,3,19,,,26,10,2013/1/1
17628,,,2013,1,1,3,20,,,25,9,2013/1/1
16974,,,2013,1,1,3,21,,,23,8,2013/1/1
15941,,,2013,1,1,3,22,,,21,6,2013/1/1
14612,,,2013,1,1,3,23,,,20,5,2013/1/1
13460,,,2013,1,1,3,24,,,18,5,2013/1/1
12793,,,2013,1,2,4,1,,,18,4,2013/1/2
12436,,,2013,1,2,4,2,,,16,3,2013/1/2
12313,,,2013,1,2,4,3,,,15,3,2013/1/2
12418,,,2013,1,2,4,4,,,15,4,2013/1/2
12846,,,2013,1,2,4,5,,,14,4,2013/1/2
14081,,,2013,1,2,4,6,,,14,4,2013/1/2
16210,,,2013,1,2,4,7,,,13,4,2013/1/2
17373,,,2013,1,2,4,8,,,14,5,2013/1/2
17567,,,2013,1,2,4,9,,,14,5,2013/1/2
17687,,,2013,1,2,4,10,,,17,6,2013/1/2
17699,,,2013,1,2,4,11,,,21,7,2013/1/2
17635,,,2013,1,2,4,12,,,24,9,2013/1/2
17481,,,2013,1,2,4,13,,,26,10,2013/1/2
17416,,,2013,1,2,4,14,,,27,10,2013/1/2
17363,,,2013,1,2,4,15,,,27,10,2013/1/2
17544,,,2013,1,2,4,16,,,26,10,2013/1/2
18705,,,2013,1,2,4,17,,,25,9,2013/1/2
19989,,,2013,1,2,4,18,,,23,9,2013/1/2
19913,,,2013,1,2,4,19,,,22,7,2013/1/2
19496,,,2013,1,2,4,20,,,20,6,2013/1/2
18823,,,2013,1,2,4,21,,,19,5,2013/1/2
17675,,,2013,1,2,4,22,,,17,3,2013/1/2
16138,,,2013,1,2,4,23,,,16,2,2013/1/2
14818,,,2013,1,2,4,24,,,13,0,2013/1/2
14021,,,2013,1,3,5,1,,,12,-1,2013/1/3
13634,,,2013,1,3,5,2,,,10,-3,2013/1/3
13478,,,2013,1,3,5,3,,,9,-5,2013/1/3
13529,,,2013,1,3,5,4,,,8,-5,2013/1/3
13916,,,2013,1,3,5,5,,,7,-5,2013/1/3
15085,,,2013,1,3,5,6,,,6,-7,2013/1/3
17219,,,2013,1,3,5,7,,,5,-7,2013/1/3
18355,,,2013,1,3,5,8,,,5,-7,2013/1/3
18483,,,2013,1,3,5,9,,,4,-7,2013/1/3
18444,,,2013,1,3,5,10,,,7,-6,2013/1/3
18356,,,2013,1,3,5,11,,,11,-5,2013/1/3
18177,,,2013,1,3,5,12,,,14,-4,2013/1/3
17864,,,2013,1,3,5,13,,,17,-3,2013/1/3
17622,,,2013,1,3,5,14,,,19,-2,2013/1/3
17430,,,2013,1,3,5,15,,,21,-1,2013/1/3
17573,,,2013,1,3,5,16,,,23,0,2013/1/3
18640,,,2013,1,3,5,17,,,22,2,2013/1/3
20020,,,2013,1,3,5,18,,,21,3,2013/1/3
20059,,,2013,1,3,5,19,,,19,4,2013/1/3
19667,,,2013,1,3,5,20,,,20,5,2013/1/3
18887,,,2013,1,3,5,21,,,20,6,2013/1/3
17677,,,2013,1,3,5,22,,,20,7,2013/1/3
16059,,,2013,1,3,5,23,,,20,8,2013/1/3
14637,,,2013,1,3,5,24,,,20,9,2013/1/3
13723,,,2013,1,4,6,1,,,21,9,2013/1/4
13282,,,2013,1,4,6,2,,,21,10,2013/1/4
13071,,,2013,1,4,6,3,,,22,12,2013/1/4
13051,,,2013,1,4,6,4,,,22,12,2013/1/4
13375,,,2013,1,4,6,5,,,22,13,2013/1/4
14443,,,2013,1,4,6,6,,,22,13,2013/1/4
16436,,,2013,1,4,6,7,,,22,14,2013/1/4
17403,,,2013,1,4,6,8,,,23,15,2013/1/4
17562,,,2013,1,4,6,9,,,25,17,2013/1/4
17578,,,2013,1,4,6,10,,,27,18,2013/1/4
17493,,,2013,1,4,6,11,,,30,19,2013/1/4
17277,,,2013,1,4,6,12,,,32,20,2013/1/4
17007,,,2013,1,4,6,13,,,34,20,2013/1/4
16837,,,2013,1,4,6,14,,,35,20,2013/1/4
16691,,,2013,1,4,6,15,,,36,20,2013/1/4
16725,,,2013,1,4,6,16,,,36,21,2013/1/4
17640,,,2013,1,4,6,17,,,36,21,2013/1/4
18686,,,2013,1,4,6,18,,,35,20,2013/1/4
18458,,,2013,1,4,6,19,,,34,21,2013/1/4
17939,,,2013,1,4,6,20,,,34,20,2013/1/4
17272,,,2013,1,4,6,21,,,32,20,2013/1/4
16335,,,2013,1,4,6,22,,,31,20,2013/1/4
15137,,,2013,1,4,6,23,,,31,19,2013/1/4
13873,,,2013,1,4,6,24,,,30,19,2013/1/4
12921,,,2013,1,5,7,1,,,30,19,2013/1/5
12379,,,2013,1,5,7,2,,,30,18,2013/1/5
12065,,,2013,1,5,7,3,,,31,19,2013/1/5
11938,,,2013,1,5,7,4,,,31,20,2013/1/5
12004,,,2013,1,5,7,5,,,31,20,2013/1/5
12428,,,2013,1,5,7,6,,,31,20,2013/1/5
13159,,,2013,1,5,7,7,,,31,20,2013/1/5
13949,,,2013,1,5,7,8,,,32,21,2013/1/5
14767,,,2013,1,5,7,9,,,33,21,2013/1/5
15333,,,2013,1,5,7,10,,,34,20,2013/1/5
15511,,,2013,1,5,7,11,,,36,20,2013/1/5
15423,,,2013,1,5,7,12,,,37,19,2013/1/5
15262,,,2013,1,5,7,13,,,38,19,2013/1/5
14980,,,2013,1,5,7,14,,,38,18,2013/1/5
14765,,,2013,1,5,7,15,,,38,17,2013/1/5
14860,,,2013,1,5,7,16,,,37,16,2013/1/5
15973,,,2013,1,5,7,17,,,36,16,2013/1/5
17341,,,2013,1,5,7,18,,,34,15,2013/1/5
17300,,,2013,1,5,7,19,,,32,15,2013/1/5
16900,,,2013,1,5,7,20,,,29,15,2013/1/5
16430,,,2013,1,5,7,21,,,27,15,2013/1/5
15763,,,2013,1,5,7,22,,,25,15,2013/1/5
