,SYSLoad,PkLoad,PkLoadPoint,Year,Month,Date,WeekDay,Hour,MeanDry,MeanDew,DryBulb,DewPnt,Date.1
0,12825,18116,17,2013,1,1,3,1,29 ,16 ,33,22,2013/1/1
1,12167,18116,17,2013,1,1,3,2,29 ,16 ,33,22,2013/1/1
2,11697,18116,17,2013,1,1,3,3,29 ,16 ,33,22,2013/1/1
3,11440,18116,17,2013,1,1,3,4,29 ,16 ,34,22,2013/1/1
4,11450,18116,17,2013,1,1,3,5,29 ,16 ,33,22,2013/1/1
5,11743,18116,17,2013,1,1,3,6,29 ,16 ,33,23,2013/1/1
6,12227,18116,17,2013,1,1,3,7,29 ,16 ,33,23,2013/1/1
7,12592,18116,17,2013,1,1,3,8,29 ,16 ,32,22,2013/1/1
8,13213,18116,17,2013,1,1,3,9,29 ,16 ,32,22,2013/1/1
9,13957,18116,17,2013,1,1,3,10,29 ,16 ,33,20,2013/1/1
10,14590,18116,17,2013,1,1,3,11,29 ,16 ,33,18,2013/1/1
11,14963,18116,17,2013,1,1,3,12,29 ,16 ,32,16,2013/1/1
12,15059,18116,17,2013,1,1,3,13,29 ,16 ,32,16,2013/1/1
13,14999,18116,17,2013,1,1,3,14,29 ,16 ,32,15,2013/1/1
14,15029,18116,17,2013,1,1,3,15,29 ,16 ,31,14,2013/1/1
15,15323,18116,17,2013,1,1,3,16,29 ,16 ,30,12,2013/1/1
16,16747,18116,17,2013,1,1,3,17,29 ,16 ,28,11,2013/1/1
17,18116,18116,17,2013,1,1,3,18,29 ,16 ,27,10,2013/1/1
18,18040,18116,17,2013,1,1,3,19,29 ,16 ,26,10,2013/1/1
19,17628,18116,17,2013,1,1,3,20,29 ,16 ,25,9,2013/1/1
20,16974,18116,17,2013,1,1,3,21,29 ,16 ,23,8,2013/1/1
21,15941,18116,17,2013,1,1,3,22,29 ,16 ,21,6,2013/1/1
22,14612,18116,17,2013,1,1,3,23,29 ,16 ,20,5,2013/1/1
23,13460,18116,17,2013,1,1,3,24,29 ,16 ,18,5,2013/1/1
24,12793,19989,17,2013,1,2,4,1,19 ,6 ,18,4,2013/1/2
25,12436,19989,17,2013,1,2,4,2,19 ,6 ,16,3,2013/1/2
26,12313,19989,17,2013,1,2,4,3,19 ,6 ,15,3,2013/1/2
27,12418,19989,17,2013,1,2,4,4,19 ,6 ,15,4,2013/1/2
28,12846,19989,17,2013,1,2,4,5,19 ,6 ,14,4,2013/1/2
29,14081,19989,17,2013,1,2,4,6,19 ,6 ,14,4,2013/1/2
30,16210,19989,17,2013,1,2,4,7,19 ,6 ,13,4,2013/1/2
31,17373,19989,17,2013,1,2,4,8,19 ,6 ,14,5,2013/1/2
32,17567,19989,17,2013,1,2,4,9,19 ,6 ,14,5,2013/1/2
33,17687,19989,17,2013,1,2,4,10,19 ,6 ,17,6,2013/1/2
34,17699,19989,17,2013,1,2,4,11,19 ,6 ,21,7,2013/1/2
35,17635,19989,17,2013,1,2,4,12,19 ,6 ,24,9,2013/1/2
36,17481,19989,17,2013,1,2,4,13,19 ,6 ,26,10,2013/1/2
37,17416,19989,17,2013,1,2,4,14,19 ,6 ,27,10,2013/1/2
38,17363,19989,17,2013,1,2,4,15,19 ,6 ,27,10,2013/1/2
39,17544,19989,17,2013,1,2,4,16,19 ,6 ,26,10,2013/1/2
40,18705,19989,17,2013,1,2,4,17,19 ,6 ,25,9,2013/1/2
41,19989,19989,17,2013,1,2,4,18,19 ,6 ,23,9,2013/1/2
42,19913,19989,17,2013,1,2,4,19,19 ,6 ,22,7,2013/1/2
43,19496,19989,17,2013,1,2,4,20,19 ,6 ,20,6,2013/1/2
44,18823,19989,17,2013,1,2,4,21,19 ,6 ,19,5,2013/1/2
45,17675,19989,17,2013,1,2,4,22,19 ,6 ,17,3,2013/1/2
46,16138,19989,17,2013,1,2,4,23,19 ,6 ,16,2,2013/1/2
47,14818,19989,17,2013,1,2,4,24,19 ,6 ,13,0,2013/1/2
48,14021,20059,18,2013,1,3,5,1,14 ,-1 ,12,-1,2013/1/3
49,13634,20059,18,2013,1,3,5,2,14 ,-1 ,10,-3,2013/1/3
50,13478,20059,18,2013,1,3,5,3,14 ,-1 ,9,-5,2013/1/3
51,13529,20059,18,2013,1,3,5,4,14 ,-1 ,8,-5,2013/1/3
52,13916,20059,18,2013,1,3,5,5,14 ,-1 ,7,-5,2013/1/3
53,15085,20059,18,2013,1,3,5,6,14 ,-1 ,6,-7,2013/1/3
54,17219,20059,18,2013,1,3,5,7,14 ,-1 ,5,-7,2013/1/3
55,18355,20059,18,2013,1,3,5,8,14 ,-1 ,5,-7,2013/1/3
56,18483,20059,18,2013,1,3,5,9,14 ,-1 ,4,-7,2013/1/3
57,18444,20059,18,2013,1,3,5,10,14 ,-1 ,7,-6,2013/1/3
58,18356,20059,18,2013,1,3,5,11,14 ,-1 ,11,-5,2013/1/3
59,18177,20059,18,2013,1,3,5,12,14 ,-1 ,14,-4,2013/1/3
60,17864,20059,18,2013,1,3,5,13,14 ,-1 ,17,-3,2013/1/3
61,17622,20059,18,2013,1,3,5,14,14 ,-1 ,19,-2,2013/1/3
62,17430,20059,18,2013,1,3,5,15,14 ,-1 ,21,-1,2013/1/3
63,17573,20059,18,2013,1,3,5,16,14 ,-1 ,23,0,2013/1/3
64,18640,20059,18,2013,1,3,5,17,14 ,-1 ,22,2,2013/1/3
65,20020,20059,18,2013,1,3,5,18,14 ,-1 ,21,3,2013/1/3
66,20059,20059,18,2013,1,3,5,19,14 ,-1 ,19,4,2013/1/3
67,19667,20059,18,2013,1,3,5,20,14 ,-1 ,20,5,2013/1/3
68,18887,20059,18,2013,1,3,5,21,14 ,-1 ,20,6,2013/1/3
69,17677,20059,18,2013,1,3,5,22,14 ,-1 ,20,7,2013/1/3
70,16059,20059,18,2013,1,3,5,23,14 ,-1 ,20,8,2013/1/3
71,14637,20059,18,2013,1,3,5,24,14 ,-1 ,20,9,2013/1/3
72,13723,18686,17,2013,1,4,6,1,29 ,17 ,21,9,2013/1/4
73,13282,18686,17,2013,1,4,6,2,29 ,17 ,21,10,2013/1/4
74,13071,18686,17,2013,1,4,6,3,29 ,17 ,22,12,2013/1/4
75,13051,18686,17,2013,1,4,6,4,29 ,17 ,22,12,2013/1/4
76,13375,18686,17,2013,1,4,6,5,29 ,17 ,22,13,2013/1/4
77,14443,18686,17,2013,1,4,6,6,29 ,17 ,22,13,2013/1/4
78,16436,18686,17,2013,1,4,6,7,29 ,17 ,22,14,2013/1/4
79,17403,18686,17,2013,1,4,6,8,29 ,17 ,23,15,2013/1/4
