PkLoad,T48PkLoad,T48PkPoint,MeanDry,MeanDew,WeekDay,Month
18116,18294,18,29.5,15.6,3,1
19989,18435,18,29.5,15.6,4,1
20059,18116,17,29.5,15.6,5,1
18686,19989,17,19,5.8,6,1
17341,20059,18,14.2,-1,7,1
17485,18686,17,28.9,17.2,1,1
18588,17341,17,32.1,17.8,2,1
18346,17485,17,31.9,22.9,3,1
18438,18588,18,31.2,20.2,4,1
17964,18346,17,33,22.5,5,1
17888,18438,17,33.9,26.1,6,1
16468,17964,18,39.7,22.5,7,1
16392,17888,17,32.5,25.4,1,1
17327,16468,17,38.8,37.7,2,1
18177,16392,17,42.9,41.8,3,1
18914,17327,17,47.4,39,4,1
18311,18177,17,35.6,23,5,1
18792,18914,17,31.6,27.8,6,1
16659,18311,17,32.4,23.3,7,1
16619,18792,17,20.9,0.1,1,1
19296,16659,17,34.9,19.4,2,1
19799,16619,18,39.8,22.6,3,1
20733,19296,17,23,8.7,4,1
20887,19799,18,18,3.6,5,1
19551,20733,18,8.9,-9,6,1
18656,20887,18,9.1,-10.3,7,1
18782,19551,17,14.3,-5.8,1,1
19764,18656,18,15.8,1.8,2,1
18608,18782,18,19.1,-1,3,1
17666,19764,17,23.1,12.1,4,1
17699,18608,18,29.8,26.5,5,1
18458,17666,17,45,43.4,6,2
17672,17699,18,46.2,33.6,7,2
17997,18458,18,26.5,6.8,1,2
19463,17672,18,22.5,5.4,2,2
19256,17997,17,23.5,15.3,3,2
18735,19463,18,23.5,7.8,4,2
18836,19256,18,22.7,10.6,5,2
18754,18735,18,28.4,15.7,6,2
17528,18836,18,22.7,1.1,7,2
17530,18754,17,24.6,18.7,1,2
18453,17528,18,18.9,9.6,2,2
18018,17530,18,20.5,1.8,3,2
17798,18453,18,30.3,25.6,4,2
17431,18018,18,37.8,26.7,5,2
16729,17798,18,34.6,21.9,6,2
16617,17431,18,34,21.7,7,2
18385,16729,18,36.9,28.5,1,2
18801,16617,18,33.3,23.8,2,2
17893,18385,18,21.5,6,3,2
18592,18801,18,21,-0.6,4,2
18693,17893,18,33.3,21.3,5,2
17335,18592,18,31.1,17.8,6,2
16829,18693,18,25.1,10.8,7,2
17321,17335,18,29.9,18.3,1,2
17822,16829,18,33.3,28.3,2,2
17782,17321,18,34,31.4,3,2
18144,17822,18,33.9,27.1,4,2
17344,17782,18,35.2,28,5,2
16961,18144,18,37,35,6,3
16097,17344,18,36.8,33.5,7,3
16691,16961,18,37.1,28.2,1,3
18051,16097,18,35.1,24.7,2,3
