Seasonal,T48Seasonal,T24Dry,T24Dew,Hour,Date,WeekDay,Month
6632,4983,47,45,1,15,3,1
6973,5537,47,46,2,15,3,1
7175,5835,47,46,3,15,3,1
7192,5965,47,46,4,15,3,1
6858,5932,47,46,5,15,3,1
5687,5676,47,46,6,15,3,1
3557,5116,48,47,7,15,3,1
2334,4442,48,47,8,15,3,1
2185,3441,48,47,9,15,3,1
2112,2594,49,48,10,15,3,1
2023,2125,50,48,11,15,3,1
1945,1890,52,47,12,15,3,1
2028,1785,54,46,13,15,3,1
2112,1846,54,42,14,15,3,1
2213,1915,55,38,15,15,3,1
2187,1738,53,34,16,15,3,1
1316,817,50,31,17,15,3,1
0,0,47,30,18,15,3,1
53,137,44,28,19,15,3,1
513,804,43,27,20,15,3,1
1263,1309,42,27,21,15,3,1
2426,2362,41,25,22,15,3,1
3910,3620,39,25,23,15,3,1
5175,4764,39,25,24,15,3,1
6825,6457,38,25,1,16,4,1
7222,6853,37,25,2,16,4,1
7395,7052,36,25,3,16,4,1
7351,7054,36,25,4,16,4,1
6935,6669,35,25,5,16,4,1
5780,5508,34,24,6,16,4,1
3942,3482,33,24,7,16,4,1
2742,2264,33,23,8,16,4,1
2371,1981,32,23,9,16,4,1
2065,1865,35,23,10,16,4,1
1756,1732,36,23,11,16,4,1
1585,1802,37,23,12,16,4,1
1546,1990,38,22,13,16,4,1
1617,2176,38,22,14,16,4,1
1779,2309,39,22,15,16,4,1
1741,2237,38,22,16,16,4,1
1009,1332,38,22,17,16,4,1
0,0,37,22,18,16,4,1
257,60,36,22,19,16,4,1
895,528,35,22,20,16,4,1
1728,1262,34,22,21,16,4,1
2964,2347,34,21,22,16,4,1
4449,3721,33,22,23,16,4,1
5761,5017,33,22,24,16,4,1
5969,6632,33,23,1,17,5,1
6385,6973,33,22,2,17,5,1
6571,7175,32,22,3,17,5,1
6564,7192,33,23,4,17,5,1
6223,6858,32,24,5,17,5,1
5083,5687,30,26,6,17,5,1
2993,3557,30,27,7,17,5,1
2011,2334,30,27,8,17,5,1
1964,2185,30,27,9,17,5,1
2024,2112,30,28,10,17,5,1
1985,2023,30,28,11,17,5,1
2101,1945,31,29,12,17,5,1
2247,2028,32,30,13,17,5,1
2337,2112,32,30,14,17,5,1
2410,2213,32,30,15,17,5,1
2264,2187,32,30,16,17,5,1
1211,1316,32,31,17,17,5,1
0,0,32,30,18,17,5,1
10,53,32,30,19,17,5,1
432,513,32,30,20,17,5,1
1049,1263,32,30,21,17,5,1
2157,2426,32,31,22,17,5,1
3558,3910,32,30,23,17,5,1
4848,5175,32,30,24,17,5,1
6117,6825,32,30,1,18,6,1
6514,7222,30,29,2,18,6,1
6669,7395,31,28,3,18,6,1
6672,7351,30,28,4,18,6,1
6198,6935,29,27,5,18,6,1
4943,5780,29,27,6,18,6,1
2789,3942,30,27,7,18,6,1
1605,2742,29,26,8,18,6,1
1480,2371,31,26,9,18,6,1
1481,2065,33,26,10,18,6,1
1412,1756,34,27,11,18,6,1
1506,1585,37,27,12,18,6,1
1748,1546,38,27,13,18,6,1
1867,1617,38,27,14,18,6,1
2051,1779,38,25,15,18,6,1
2012,1741,38,23,16,18,6,1
1294,1009,36,21,17,18,6,1
0,0,35,20,18,18,6,1
55,257,33,19,19,18,6,1
524,895,32,18,20,18,6,1
1110,1728,30,15,21,18,6,1
1943,2964,29,14,22,18,6,1
3118,4449,28,12,23,18,6,1
4341,5761,27,10,24,18,6,1
3161,5969,26,10,1,19,7,1
3684,6385,25,8,2,19,7,1
4014,6571,25,5,3,19,7,1
4167,6564,24,4,4,19,7,1
4143,6223,23,3,5,19,7,1
3791,5083,21,0,6,19,7,1
3102,2993,18,-1,7,19,7,1
2333,2011,17,-2,8,19,7,1
1532,1964,16,-3,9,19,7,1
963,2024,17,-4,10,19,7,1
783,1985,19,-5,11,19,7,1
888,2101,20,-4,12,19,7,1
1216,2247,21,-4,13,19,7,1
1623,2337,22,-3,14,19,7,1
1922,2410,23,-3,15,19,7,1
1986,2264,24,-3,16,19,7,1
1302,1211,23,-3,17,19,7,1
0,0,21,-2,18,19,7,1
112,10,21,-1,19,19,7,1
623,432,20,0,20,19,7,1
1164,1049,19,2,21,19,7,1
1920,2157,19,2,22,19,7,1
2911,3558,19,3,23,19,7,1
3939,4848,19,4,24,19,7,1
4716,6117,21,5,1,20,1,1
5268,6514,22,7,2,20,1,1
5562,6669,24,10,3,20,1,1
5701,6672,26,11,4,20,1,1
5638,6198,27,13,5,20,1,1
5367,4943,28,14,6,20,1,1
4767,2789,29,16,7,20,1,1
4180,1605,30,16,8,20,1,1
3356,1480,31,18,9,20,1,1
2763,1481,33,20,10,20,1,1
2485,1412,36,21,11,20,1,1
2361,1506,38,22,12,20,1,1
2287,1748,40,22,13,20,1,1
2316,1867,42,23,14,20,1,1
2410,2051,44,23,15,20,1,1
2350,2012,44,23,16,20,1,1
1569,1294,44,23,17,20,1,1
53,0,42,23,18,20,1,1
0,55,41,24,19,20,1,1
614,524,41,24,20,20,1,1
1026,1110,40,25,21,20,1,1
1718,1943,38,26,22,20,1,1
2588,3118,38,28,23,20,1,1
3611,4341,39,29,24,20,1,1
6933,3161,39,29,1,21,2,1
7290,3684,40,29,2,21,2,1
7413,4014,40,29,3,21,2,1
