Seasonal,T24*7Seasonal,T24Dry,T24Dew,Hour,Date,WeekDay,Month
6632,5423,47,45,1,15,3,1
6973,5861,47,46,2,15,3,1
7175,6025,47,46,3,15,3,1
7192,6020,47,46,4,15,3,1
6858,5655,47,46,5,15,3,1
5687,4536,47,46,6,15,3,1
3557,2479,48,47,7,15,3,1
2334,1478,48,47,8,15,3,1
2185,1479,48,47,9,15,3,1
2112,1619,49,48,10,15,3,1
2023,1756,50,48,11,15,3,1
1945,1936,52,47,12,15,3,1
2028,2195,54,46,13,15,3,1
2112,2343,54,42,14,15,3,1
2213,2527,55,38,15,15,3,1
2187,2460,53,34,16,15,3,1
1316,1411,50,31,17,15,3,1
0,0,47,30,18,15,3,1
53,45,44,28,19,15,3,1
513,472,43,27,20,15,3,1
1263,1195,42,27,21,15,3,1
2426,2346,41,25,22,15,3,1
3910,3875,39,25,23,15,3,1
5175,5205,39,25,24,15,3,1
6825,6084,38,25,1,16,4,1
7222,6505,37,25,2,16,4,1
7395,6666,36,25,3,16,4,1
7351,6606,36,25,4,16,4,1
6935,6190,35,25,5,16,4,1
5780,5009,34,24,6,16,4,1
3942,2817,33,24,7,16,4,1
2742,1699,33,23,8,16,4,1
2371,1639,32,23,9,16,4,1
2065,1662,35,23,10,16,4,1
1756,1728,36,23,11,16,4,1
1585,1842,37,23,12,16,4,1
1546,1984,38,22,13,16,4,1
1617,2005,38,22,14,16,4,1
1779,2068,39,22,15,16,4,1
1741,1863,38,22,16,16,4,1
1009,884,38,22,17,16,4,1
0,0,37,22,18,16,4,1
257,146,36,22,19,16,4,1
895,677,35,22,20,16,4,1
1728,1430,34,22,21,16,4,1
2964,2639,34,21,22,16,4,1
4449,4175,33,22,23,16,4,1
5761,5537,33,22,24,16,4,1
5969,5907,33,23,1,17,5,1
6385,6383,33,22,2,17,5,1
6571,6572,32,22,3,17,5,1
6564,6617,33,23,4,17,5,1
6223,6181,32,24,5,17,5,1
5083,5057,30,26,6,17,5,1
2993,2995,30,27,7,17,5,1
2011,1941,30,27,8,17,5,1
1964,1924,30,27,9,17,5,1
2024,1957,30,28,10,17,5,1
1985,1921,30,28,11,17,5,1
2101,2031,31,29,12,17,5,1
2247,2223,32,30,13,17,5,1
2337,2342,32,30,14,17,5,1
2410,2519,32,30,15,17,5,1
2264,2378,32,30,16,17,5,1
1211,1436,32,31,17,17,5,1
0,65,32,30,18,17,5,1
10,0,32,30,19,17,5,1
432,417,32,30,20,17,5,1
1049,1072,32,30,21,17,5,1
2157,2175,32,31,22,17,5,1
3558,3646,32,30,23,17,5,1
4848,4929,32,30,24,17,5,1
6117,5646,32,30,1,18,6,1
6514,6106,30,29,2,18,6,1
6669,6217,31,28,3,18,6,1
6672,6205,30,28,4,18,6,1
6198,5775,29,27,5,18,6,1
4943,4664,29,27,6,18,6,1
2789,2602,30,27,7,18,6,1
1605,1469,29,26,8,18,6,1
1480,1328,31,26,9,18,6,1
1481,1298,33,26,10,18,6,1
1412,1271,34,27,11,18,6,1
1506,1306,37,27,12,18,6,1
1748,1432,38,27,13,18,6,1
1867,1475,38,27,14,18,6,1
2051,1573,38,25,15,18,6,1
2012,1517,38,23,16,18,6,1
1294,714,36,21,17,18,6,1
0,0,35,20,18,18,6,1
55,330,33,19,19,18,6,1
524,897,32,18,20,18,6,1
1110,1572,30,15,21,18,6,1
1943,2474,29,14,22,18,6,1
3118,3711,28,12,23,18,6,1
4341,4909,27,10,24,18,6,1
