PkLoad,T24PkLoad,T24PkPoint,T48PkLoad,T48PkPoint,MeanDry,MeanDew,WeekDay,Month
18116,18435,18,18294,18,29.5,15.6,3,1
19989,18116,17,18435,18,29.5,15.6,4,1
20059,19989,17,18116,17,19,5.8,5,1
18686,20059,18,19989,17,14.2,-1,6,1
17341,18686,17,20059,18,28.9,17.2,7,1
17485,17341,17,18686,17,32.1,17.8,1,1
18588,17485,17,17341,17,31.9,22.9,2,1
18346,18588,18,17485,17,31.2,20.2,3,1
18438,18346,17,18588,18,33,22.5,4,1
17964,18438,17,18346,17,33.9,26.1,5,1
17888,17964,18,18438,17,39.7,22.5,6,1
16468,17888,17,17964,18,32.5,25.4,7,1
16392,16468,17,17888,17,38.8,37.7,1,1
17327,16392,17,16468,17,42.9,41.8,2,1
18177,17327,17,16392,17,47.4,39,3,1
18914,18177,17,17327,17,35.6,23,4,1
18311,18914,17,18177,17,31.6,27.8,5,1
18792,18311,17,18914,17,32.4,23.3,6,1
16659,18792,17,18311,17,20.9,0.1,7,1
16619,16659,17,18792,17,34.9,19.4,1,1
19296,16619,18,16659,17,39.8,22.6,2,1
19799,19296,17,16619,18,23,8.7,3,1
20733,19799,18,19296,17,18,3.6,4,1
20887,20733,18,19799,18,8.9,-9,5,1
19551,20887,18,20733,18,9.1,-10.3,6,1
18656,19551,17,20887,18,14.3,-5.8,7,1
18782,18656,18,19551,17,15.8,1.8,1,1
19764,18782,18,18656,18,19.1,-1,2,1
18608,19764,17,18782,18,23.1,12.1,3,1
17666,18608,18,19764,17,29.8,26.5,4,1
17699,17666,17,18608,18,45,43.4,5,1
18458,17699,18,17666,17,46.2,33.6,6,2
17672,18458,18,17699,18,26.5,6.8,7,2
17997,17672,18,18458,18,22.5,5.4,1,2
19463,17997,17,17672,18,23.5,15.3,2,2
19256,19463,18,17997,17,23.5,7.8,3,2
18735,19256,18,19463,18,22.7,10.6,4,2
18836,18735,18,19256,18,28.4,15.7,5,2
18754,18836,18,18735,18,22.7,1.1,6,2
17528,18754,17,18836,18,24.6,18.7,7,2
17530,17528,18,18754,17,18.9,9.6,1,2
18453,17530,18,17528,18,20.5,1.8,2,2
18018,18453,18,17530,18,30.3,25.6,3,2
17798,18018,18,18453,18,37.8,26.7,4,2
17431,17798,18,18018,18,34.6,21.9,5,2
16729,17431,18,17798,18,34,21.7,6,2
16617,16729,18,17431,18,36.9,28.5,7,2
18385,16617,18,16729,18,33.3,23.8,1,2
18801,18385,18,16617,18,21.5,6,2,2
17893,18801,18,18385,18,21,-0.6,3,2
18592,17893,18,18801,18,33.3,21.3,4,2
18693,18592,18,17893,18,31.1,17.8,5,2
17335,18693,18,18592,18,25.1,10.8,6,2
16829,17335,18,18693,18,29.9,18.3,7,2
17321,16829,18,17335,18,33.3,28.3,1,2
17822,17321,18,16829,18,34,31.4,2,2
17782,17822,18,17321,18,33.9,27.1,3,2
18144,17782,18,17822,18,35.2,28,4,2
17344,18144,18,17782,18,37,35,5,2
16961,17344,18,18144,18,36.8,33.5,6,3
16097,16961,18,17344,18,37.1,28.2,7,3
16691,16097,18,16961,18,35.1,24.7,1,3
18051,16691,18,16097,18,32.5,23.7,2,3
17389,18051,18,16691,18,31.8,20.3,3,3
18085,17389,18,18051,18,35.9,24.2,4,3
18460,18085,18,17389,18,35.9,30.1,5,3
17602,18460,18,18085,18,32.5,27.7,6,3
15593,17602,18,18460,18,33.9,25.8,7,3
15846,15593,18,17602,18,38.5,20.9,1,3
16671,15846,19,15593,18,35.8,27.1,2,3
16778,16671,19,15846,19,41,34.2,3,3
16334,16778,19,16671,19,47.2,45.1,4,3
17618,16334,19,16778,19,41.9,28.5,5,3
16872,17618,19,16334,19,30.5,14,6,3
15585,16872,8,17618,19,29.5,12.3,7,3
16230,15585,19,16872,8,31.9,14.3,1,3
17630,16230,19,15585,19,29.4,7.9,2,3
17727,17630,19,16230,19,26.9,6.1,3,3
17127,17727,19,17630,19,31.3,29.3,4,3
17164,17127,19,17727,19,30.8,18.5,5,3
16434,17164,19,17127,19,29.9,17.3,6,3
15307,16434,8,17164,19,31.3,16.5,7,3
15368,15307,19,16434,8,34.5,18.5,1,3
16887,15368,19,15307,19,37.2,20.9,2,3
16201,16887,19,15368,19,36.8,25.8,3,3
16141,16201,19,16887,19,39.9,22.9,4,3
16019,16141,19,16201,19,41.2,22.4,5,3
14902,16019,19,16141,19,41.8,29.8,6,3
14254,14902,19,16019,19,45.4,29.1,7,3
14121,14254,20,14902,19,45,24.3,1,3
15990,14121,19,14254,20,43.3,26.7,2,4
16781,15990,19,14121,19,45.1,35,3,4
16454,16781,19,15990,19,33.6,11.2,4,4
15917,16454,20,16781,19,35.4,10.8,5,4
15478,15917,8,16454,20,39.7,15.4,6,4
14521,15478,8,15917,8,44.7,24,7,4
14791,14521,20,15478,8,37.8,8.5,1,4
15219,14791,20,14521,20,42.3,26,2,4
15186,15219,20,14791,20,51,36.8,3,4
15430,15186,20,15219,20,55.1,41.3,4,4
15472,15430,19,15186,20,51.5,44.5,5,4
16079,15472,19,15430,19,46.9,36.9,6,4
14230,16079,11,15472,19,37.8,33.1,7,4
14345,14230,10,16079,11,42.2,33.9,1,4
15006,14345,20,14230,10,44.9,30.5,2,4
15020,15006,20,14345,20,44.2,29.6,3,4
14858,15020,20,15006,20,50.4,40.5,4,4
14986,14858,20,15020,20,56,35,5,4
14971,14986,20,14858,20,50,32.7,6,4
13617,14971,11,14986,20,60.2,54.9,7,4
14332,13617,20,14971,11,52,37,1,4
15459,14332,20,13617,20,42,19,2,4
16099,15459,20,14332,20,43,26.8,3,4
15080,16099,19,15459,20,40.2,34.4,4,4
14897,15080,20,16099,19,52.8,41.8,5,4
14478,14897,20,15080,20,53.4,33.2,6,4
13408,14478,10,14897,20,49.5,30.5,7,4
13870,13408,20,14478,10,50.9,33.3,1,4
14911,13870,20,13408,20,53.8,34.8,2,4
14809,14911,20,13870,20,54.5,36.8,3,4
14876,14809,20,14911,20,56,31.3,4,5
14920,14876,20,14809,20,55.4,34,5,5
14354,14920,13,14876,20,57.8,38.4,6,5
13417,14354,11,14920,13,52.7,38,7,5
13826,13417,20,14354,11,52.8,38.3,1,5
15038,13826,20,13417,20,50.3,37,2,5
15414,15038,20,13826,20,53.4,41.7,3,5
15542,15414,20,15038,20,60.6,48.2,4,5
15287,15542,13,15414,20,60.6,55.8,5,5
15512,15287,11,15542,13,58.1,55.4,6,5
13999,15512,13,15287,11,63.3,53.8,7,5
13653,13999,11,15512,13,61.6,57.4,1,5
14927,13653,20,13999,11,59.7,47.3,2,5
14916,14927,20,13653,20,49,27.3,3,5
15145,14916,20,14927,20,49,28.5,4,5
15408,15145,20,14916,20,51.5,38.7,5,5
14884,15408,14,15145,20,65.4,40.8,6,5
13507,14884,11,15408,14,59.7,38.3,7,5
13994,13507,20,14884,11,57.9,41.9,1,5
16415,13994,20,13507,20,55.4,49.7,2,5
17563,16415,16,13994,20,65.5,58.5,3,5
15956,17563,14,16415,16,64.8,58.8,4,5
16569,15956,16,17563,14,59.5,55.9,5,5
16207,16569,14,15956,16,64.2,61.4,6,5
13799,16207,11,16569,14,60.1,56.9,7,5
13162,13799,11,16207,11,46.5,43.3,1,5
13863,13162,20,13799,11,49.1,38,2,5
15416,13863,20,13162,20,57.4,36.5,3,5
16309,15416,13,13863,20,58.8,43.1,4,5
20232,16309,17,15416,13,61.9,58.3,5,5
22479,20232,16,16309,17,74.9,63.3,6,5
20938,22479,16,20232,16,79.5,63.4,7,6
19862,20938,16,22479,16,78.4,63.3,1,6
18660,19862,15,20938,16,75.1,65.2,2,6
16204,18660,16,19862,15,68.5,61.3,3,6
16287,16204,17,18660,16,62,41.5,4,6
16366,16287,16,16204,17,62.6,44.2,5,6
15710,16366,13,16287,16,61.4,50.1,6,6
14761,15710,11,16366,13,55.9,53.7,7,6
15565,14761,17,15710,11,63,55.7,1,6
16480,15565,18,14761,17,68.4,54.5,2,6
16531,16480,13,15565,18,62.7,56.5,3,6
16072,16531,17,16480,13,59.9,57.3,4,6
