Seasonal,T24Seasonal,T24Dry,T24Dew,Hour,Date,WeekDay,Month
6632,6457,47,45,1,15,3,1
6973,6853,47,46,2,15,3,1
7175,7052,47,46,3,15,3,1
7192,7054,47,46,4,15,3,1
6858,6669,47,46,5,15,3,1
5687,5508,47,46,6,15,3,1
3557,3482,48,47,7,15,3,1
2334,2264,48,47,8,15,3,1
2185,1981,48,47,9,15,3,1
2112,1865,49,48,10,15,3,1
2023,1732,50,48,11,15,3,1
1945,1802,52,47,12,15,3,1
2028,1990,54,46,13,15,3,1
2112,2176,54,42,14,15,3,1
2213,2309,55,38,15,15,3,1
2187,2237,53,34,16,15,3,1
1316,1332,50,31,17,15,3,1
0,0,47,30,18,15,3,1
53,60,44,28,19,15,3,1
513,528,43,27,20,15,3,1
1263,1262,42,27,21,15,3,1
2426,2347,41,25,22,15,3,1
3910,3721,39,25,23,15,3,1
5175,5017,39,25,24,15,3,1
6825,6632,38,25,1,16,4,1
7222,6973,37,25,2,16,4,1
7395,7175,36,25,3,16,4,1
7351,7192,36,25,4,16,4,1
6935,6858,35,25,5,16,4,1
5780,5687,34,24,6,16,4,1
3942,3557,33,24,7,16,4,1
2742,2334,33,23,8,16,4,1
2371,2185,32,23,9,16,4,1
2065,2112,35,23,10,16,4,1
1756,2023,36,23,11,16,4,1
1585,1945,37,23,12,16,4,1
1546,2028,38,22,13,16,4,1
1617,2112,38,22,14,16,4,1
1779,2213,39,22,15,16,4,1
1741,2187,38,22,16,16,4,1
1009,1316,38,22,17,16,4,1
0,0,37,22,18,16,4,1
257,53,36,22,19,16,4,1
895,513,35,22,20,16,4,1
1728,1263,34,22,21,16,4,1
2964,2426,34,21,22,16,4,1
4449,3910,33,22,23,16,4,1
5761,5175,33,22,24,16,4,1
5969,6825,33,23,1,17,5,1
6385,7222,33,22,2,17,5,1
6571,7395,32,22,3,17,5,1
6564,7351,33,23,4,17,5,1
6223,6935,32,24,5,17,5,1
5083,5780,30,26,6,17,5,1
2993,3942,30,27,7,17,5,1
2011,2742,30,27,8,17,5,1
1964,2371,30,27,9,17,5,1
2024,2065,30,28,10,17,5,1
1985,1756,30,28,11,17,5,1
2101,1585,31,29,12,17,5,1
2247,1546,32,30,13,17,5,1
2337,1617,32,30,14,17,5,1
2410,1779,32,30,15,17,5,1
2264,1741,32,30,16,17,5,1
1211,1009,32,31,17,17,5,1
0,0,32,30,18,17,5,1
10,257,32,30,19,17,5,1
432,895,32,30,20,17,5,1
1049,1728,32,30,21,17,5,1
2157,2964,32,31,22,17,5,1
3558,4449,32,30,23,17,5,1
4848,5761,32,30,24,17,5,1
6117,5969,32,30,1,18,6,1
6514,6385,30,29,2,18,6,1
6669,6571,31,28,3,18,6,1
6672,6564,30,28,4,18,6,1
6198,6223,29,27,5,18,6,1
4943,5083,29,27,6,18,6,1
2789,2993,30,27,7,18,6,1
1605,2011,29,26,8,18,6,1
1480,1964,31,26,9,18,6,1
1481,2024,33,26,10,18,6,1
1412,1985,34,27,11,18,6,1
1506,2101,37,27,12,18,6,1
1748,2247,38,27,13,18,6,1
1867,2337,38,27,14,18,6,1
2051,2410,38,25,15,18,6,1
2012,2264,38,23,16,18,6,1
1294,1211,36,21,17,18,6,1
0,0,35,20,18,18,6,1
55,10,33,19,19,18,6,1
524,432,32,18,20,18,6,1
1110,1049,30,15,21,18,6,1
1943,2157,29,14,22,18,6,1
3118,3558,28,12,23,18,6,1
4341,4848,27,10,24,18,6,1
3161,6117,26,10,1,19,7,1
3684,6514,25,8,2,19,7,1
4014,6669,25,5,3,19,7,1
4167,6672,24,4,4,19,7,1
4143,6198,23,3,5,19,7,1
3791,4943,21,0,6,19,7,1
3102,2789,18,-1,7,19,7,1
2333,1605,17,-2,8,19,7,1
1532,1480,16,-3,9,19,7,1
963,1481,17,-4,10,19,7,1
783,1412,19,-5,11,19,7,1
888,1506,20,-4,12,19,7,1
1216,1748,21,-4,13,19,7,1
1623,1867,22,-3,14,19,7,1
1922,2051,23,-3,15,19,7,1
1986,2012,24,-3,16,19,7,1
1302,1294,23,-3,17,19,7,1
0,0,21,-2,18,19,7,1
112,55,21,-1,19,19,7,1
623,524,20,0,20,19,7,1
1164,1110,19,2,21,19,7,1
1920,1943,19,2,22,19,7,1
2911,3118,19,3,23,19,7,1
3939,4341,19,4,24,19,7,1
4716,3161,21,5,1,20,1,1
5268,3684,22,7,2,20,1,1
5562,4014,24,10,3,20,1,1
5701,4167,26,11,4,20,1,1
5638,4143,27,13,5,20,1,1
5367,3791,28,14,6,20,1,1
4767,3102,29,16,7,20,1,1
4180,2333,30,16,8,20,1,1
3356,1532,31,18,9,20,1,1
2763,963,33,20,10,20,1,1
2485,783,36,21,11,20,1,1
2361,888,38,22,12,20,1,1
2287,1216,40,22,13,20,1,1
2316,1623,42,23,14,20,1,1
2410,1922,44,23,15,20,1,1
2350,1986,44,23,16,20,1,1
1569,1302,44,23,17,20,1,1
53,0,42,23,18,20,1,1
0,112,41,24,19,20,1,1
614,623,41,24,20,20,1,1
1026,1164,40,25,21,20,1,1
1718,1920,38,26,22,20,1,1
2588,2911,38,28,23,20,1,1
3611,3939,39,29,24,20,1,1
6933,4716,39,29,1,21,2,1
7290,5268,40,29,2,21,2,1
7413,5562,40,29,3,21,2,1
7361,5701,40,29,4,21,2,1
6970,5638,39,30,5,21,2,1
6032,5367,39,29,6,21,2,1
4668,4767,39,29,7,21,2,1
3540,4180,38,29,8,21,2,1
2774,3356,39,29,9,21,2,1
2222,2763,41,29,10,21,2,1
1866,2485,45,28,11,21,2,1
1903,2361,48,27,12,21,2,1
2075,2287,50,26,13,21,2,1
2051,2316,49,26,14,21,2,1
2100,2410,47,26,15,21,2,1
1995,2350,46,24,16,21,2,1
1121,1569,45,17,17,21,2,1
0,53,41,15,18,21,2,1
187,0,37,14,19,21,2,1
733,614,34,13,20,21,2,1
1466,1026,32,11,21,21,2,1
2746,1718,30,10,22,21,2,1
4144,2588,29,8,23,21,2,1
5438,3611,28,7,24,21,2,1
6702,6933,27,6,1,22,3,1
7101,7290,25,8,2,22,3,1
7255,7413,24,6,3,22,3,1
7218,7361,23,6,4,22,3,1
6812,6970,21,5,5,22,3,1
5598,6032,20,3,6,22,3,1
3503,4668,20,4,7,22,3,1
2404,3540,19,5,8,22,3,1
2237,2774,20,5,9,22,3,1
2197,2222,21,5,10,22,3,1
2138,1866,22,4,11,22,3,1
2175,1903,24,4,12,22,3,1
2307,2075,25,5,13,22,3,1
2392,2051,26,5,14,22,3,1
2485,2100,26,6,15,22,3,1
2404,1995,26,6,16,22,3,1
1727,1121,26,9,17,22,3,1
173,0,24,13,18,22,3,1
0,187,24,15,19,22,3,1
281,733,23,16,20,22,3,1
941,1466,23,18,21,22,3,1
1931,2746,22,18,22,22,3,1
3470,4144,21,18,23,22,3,1
4716,5438,21,18,24,22,3,1
6433,6702,21,17,1,23,4,1
6801,7101,20,16,2,23,4,1
6922,7255,21,17,3,23,4,1
6854,7218,20,15,4,23,4,1
6457,6812,20,13,5,23,4,1
5357,5598,19,11,6,23,4,1
3182,3503,18,11,7,23,4,1
1986,2404,18,9,8,23,4,1
1940,2237,17,6,9,23,4,1
2111,2197,18,4,10,23,4,1
2024,2138,19,3,11,23,4,1
1988,2175,20,1,12,23,4,1
2180,2307,20,0,13,23,4,1
2324,2392,20,-1,14,23,4,1
2509,2485,20,-2,15,23,4,1
2410,2404,21,-2,16,23,4,1
1714,1727,20,-3,17,23,4,1
137,173,17,-3,18,23,4,1
0,0,17,-3,19,23,4,1
252,281,15,-2,20,23,4,1
1024,941,14,-5,21,23,4,1
2153,1931,13,-5,22,23,4,1
3479,3470,12,-4,23,23,4,1
4884,4716,11,-6,24,23,4,1
5889,6433,10,-5,1,24,5,1
6236,6801,9,-5,2,24,5,1
6374,6922,8,-6,3,24,5,1
6361,6854,8,-6,4,24,5,1
5983,6457,7,-6,5,24,5,1
4877,5357,7,-7,6,24,5,1
2603,3182,6,-7,7,24,5,1
1566,1986,5,-8,8,24,5,1
1439,1940,6,-7,9,24,5,1
1671,2111,8,-8,10,24,5,1
1677,2024,9,-9,11,24,5,1
1868,1988,10,-9,12,24,5,1
2140,2180,12,-10,13,24,5,1
2285,2324,13,-11,14,24,5,1
2569,2509,13,-10,15,24,5,1
2392,2410,14,-10,16,24,5,1
1786,1714,12,-12,17,24,5,1
338,137,11,-12,18,24,5,1
0,0,10,-11,19,24,5,1
539,252,9,-11,20,24,5,1
1044,1024,8,-12,21,24,5,1
2210,2153,7,-11,22,24,5,1
3677,3479,6,-11,23,24,5,1
5004,4884,5,-11,24,24,5,1
4494,5889,4,-11,1,25,6,1
4921,6236,3,-11,2,25,6,1
5104,6374,3,-11,3,25,6,1
5086,6361,3,-11,4,25,6,1
4738,5983,1,-10,5,25,6,1
3681,4877,1,-11,6,25,6,1
1677,2603,1,-11,7,25,6,1
669,1566,1,-11,8,25,6,1
523,1439,2,-11,9,25,6,1
565,1671,5,-11,10,25,6,1
666,1677,8,-10,11,25,6,1
